Reward,Throughput,Latancy,PRBs,Each_time,Totel_time
0.0,0.0,0.0,0.015,0.03245115280151367,0.03245115280151367
0.0,0.0,0.0,0.01,0.031114816665649414,0.06357145309448242
0.0,0.0,0.0,0.01,0.03271889686584473,0.09629654884338379
0.0,0.0,0.0,0.01,0.03153038024902344,0.12783193588256836
0.0,0.0,0.0,0.01,0.03240370750427246,0.16023659706115723
0.0,0.0,0.0,0.01,0.030447959899902344,0.19068574905395508
0.0,0.0,0.0,0.01,0.03123927116394043,0.22193002700805664
0.0,0.0,0.0,0.01,0.031681060791015625,0.2536177635192871
0.0,0.0,0.0,0.01,0.03239035606384277,0.2860133647918701
0.0,0.0,0.0,0.01,0.029778480529785156,0.315798282623291
0.0,0.0,0.0,0.01,0.035590171813964844,0.3513939380645752
0.0,0.0,0.0,0.01,0.03323936462402344,0.3945631980895996
0.0,0.0,0.0,0.01,0.03410458564758301,0.4360344409942627
0.0,0.0,0.0,0.01,0.032614707946777344,0.4757263660430908
0.0,0.0,0.0,0.01,0.033716678619384766,0.5170166492462158
0.0,0.0,0.0,0.01,0.03335833549499512,0.5575234889984131
0.0,0.0,0.0,0.01,0.03411531448364258,0.5982801914215088
0.0,0.0,0.0,0.01,0.036046504974365234,0.641364336013794
0.0,0.0,0.0,0.01,0.03405117988586426,0.6824452877044678
0.0,0.0,0.0,0.01,0.035192012786865234,0.7253897190093994
0.0,0.0,0.0,0.01,0.03548717498779297,0.769843578338623
0.0,0.0,0.0,0.01,0.033605337142944336,0.812962532043457
0.040218300000000005,4.59088,0.56905,1.558,0.03630542755126953,0.8575179576873779
0.040218300000000005,4.59088,0.56905,1.558,0.03645896911621094,0.9025070667266846
0.040218300000000005,4.59088,0.56905,1.558,0.03629565238952637,0.9470193386077881
0.18739870000000003,19.360400000000002,0.62053,5.717,0.03575015068054199,0.9906735420227051
0.18739870000000003,19.360400000000002,0.62053,5.717,0.03666257858276367,1.0351777076721191
0.18598119999999999,19.25384,0.6557200000000001,5.1979999999999995,0.03578329086303711,1.0794198513031006
0.18598119999999999,19.25384,0.6557200000000001,5.1979999999999995,0.03529071807861328,1.1230769157409668
0.1876851,19.37472,0.60621,4.774,0.036718130111694336,1.1683604717254639
0.1876851,19.37472,0.60621,4.774,0.03616619110107422,1.2124261856079102
0.1877095,19.37352,0.60257,4.527,0.03618502616882324,1.257155418395996
0.1877095,19.37352,0.60257,4.527,0.036214351654052734,1.300785779953003
0.1877095,19.37352,0.60257,4.527,0.03601694107055664,1.3451242446899414
0.1860008,19.2596,0.65952,4.056,0.03690838813781738,1.3902325630187988
0.1860008,19.2596,0.65952,4.056,0.036672115325927734,1.434462308883667
0.1862972,19.256,0.62628,3.711,0.037772417068481445,1.4797022342681885
0.1862972,19.256,0.62628,3.711,0.0366673469543457,1.524289846420288
0.18820140000000002,19.37552,0.55538,3.581,0.03662991523742676,1.5687901973724365
0.18820140000000002,19.37552,0.55538,3.581,0.037772417068481445,1.6140387058258057
0.18679859999999998,19.2536,0.57374,3.251,0.03718686103820801,1.659374713897705
0.18679859999999998,19.2536,0.57374,3.251,0.034776926040649414,1.7019994258880615
0.18679859999999998,19.2536,0.57374,3.251,0.03582882881164551,1.7452392578125
0.18819289999999997,19.375919999999997,0.55663,3.003,0.034459590911865234,1.7870008945465088
0.18819289999999997,19.375919999999997,0.55663,3.003,0.03490638732910156,1.8289551734924316
0.18689070000000002,19.2532,0.56413,2.827,0.03487038612365723,1.8716223239898682
0.18689070000000002,19.2532,0.56413,2.827,0.03767132759094238,1.920081377029419
0.18853,19.374959999999998,0.5219600000000001,2.788,0.03599095344543457,1.9651713371276855
0.18853,19.374959999999998,0.5219600000000001,2.788,0.036205291748046875,2.0099997520446777
0.1881379,19.37312,0.55933,2.673,0.03585672378540039,2.0543670654296875
0.1881379,19.37312,0.55933,2.673,0.0355534553527832,2.0999093055725098
0.1881379,19.37312,0.55933,2.673,0.035030364990234375,2.143845558166504
0.1877745,19.2528,0.47535000000000005,2.6559999999999997,0.035794734954833984,2.1874945163726807
0.1877745,19.2528,0.47535000000000005,2.6559999999999997,0.035303592681884766,2.2303199768066406
0.1869776,19.2516,0.55384,2.33,0.035504817962646484,2.273883581161499
0.1869776,19.2516,0.55384,2.33,0.035355329513549805,2.3172693252563477
0.1888048,19.37352,0.49304000000000003,2.3169999999999997,0.03628897666931152,2.3632800579071045
0.1888048,19.37352,0.49304000000000003,2.3169999999999997,0.03571128845214844,2.4069247245788574
0.1888048,19.37352,0.49304000000000003,2.3169999999999997,0.03636932373046875,2.4503579139709473
0.18701979999999999,19.2516,0.54962,2.116,0.0361933708190918,2.4940643310546875
0.18701979999999999,19.2516,0.54962,2.116,0.03639864921569824,2.53761887550354
0.1888285,19.37192,0.48907,2.1639999999999997,0.0358734130859375,2.5810816287994385
0.1888285,19.37192,0.48907,2.1639999999999997,0.03613114356994629,2.624687433242798
0.1868586,19.2512,0.5653400000000001,1.938,0.03574705123901367,2.6683740615844727
0.1868586,19.2512,0.5653400000000001,1.938,0.074676513671875,2.750791549682617
0.1889084,19.37152,0.48068,2.089,0.03586292266845703,2.7944905757904053
0.1889084,19.37152,0.48068,2.089,0.03722643852233887,2.839012384414673
0.1871171,19.2512,0.53949,1.948,0.03728342056274414,2.883662700653076
0.1871171,19.2512,0.53949,1.948,0.03702044486999512,2.928704023361206
0.1887844,19.37176,0.49332,2.0589999999999997,0.03736138343811035,2.9735066890716553
0.1887844,19.37176,0.49332,2.0589999999999997,0.03669476509094238,3.017545461654663
