Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.48806890845298767,0.060736969113349915,0.0851404145359993,2.030618088610936e-05
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.5631086826324463,0.03398824855685234,0.062143683433532715,1.72164368450467e-06
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.35455137491226196,-0.021138422191143036,-0.0034108534455299377,9.650089850765653e-06
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.2867298722267151,0.04430803656578064,0.058644529432058334,7.3926139521063305e-06
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.8371628522872925,0.03790135309100151,0.07975949347019196,3.862194716930389e-06
0,0.45610636472702026,0.03548698499798775,0.05829230323433876,1.2202153243379144e-07
0,0.6226493120193481,0.035545673221349716,0.06667813658714294,6.237532943487167e-07
0,0.42707258462905884,0.03547513484954834,0.05682876706123352,3.6341202758194413e-07
0,0.477292001247406,0.035213686525821686,0.059078287333250046,1.5020549426481011e-07
0,0.23035511374473572,0.03569861501455307,0.047216370701789856,1.2749769950914924e-07
0,0.3980688154697418,0.03518711403012276,0.05509055405855179,2.819550672938931e-07
0,0.4023769497871399,0.035413339734077454,0.05553218722343445,3.962261416745605e-07
0,0.32911574840545654,0.035361431539058685,0.05181721970438957,4.317274715504027e-07
0,0.1395527571439743,0.03573097288608551,0.042708609253168106,6.184019980537414e-07
0,0.30355703830718994,0.035699836909770966,0.05087769031524658,2.748068254732061e-06
0,0.37429922819137573,0.03561696782708168,0.05433192849159241,3.98524616684881e-06
0,0.2239527553319931,0.03538248687982559,0.04658012464642525,2.0238972808783728e-07
0,0.2074020355939865,0.036680612713098526,0.04705071449279785,3.507096266730514e-07
0,0.1273149996995926,0.03520278260111809,0.04156853258609772,6.600820938729157e-07
0,0.23549789190292358,0.03554084897041321,0.04731574282050133,5.7487316240667496e-08
0,0.313018798828125,0.035569846630096436,0.051220789551734924,1.4362675493373445e-08
0,0.2032427191734314,0.03523240238428116,0.04539453983306885,8.137290592458157e-07
0,0.14318516850471497,0.035402074456214905,0.04256133362650871,2.2433255253417883e-08
0,0.22289815545082092,0.0352313257753849,0.04637623578310013,2.9780453658645456e-08
0,0.07832018285989761,0.0353514738380909,0.03926748409867287,2.746900484851267e-09
0,0.12720106542110443,0.035348277539014816,0.0417083315551281,3.2090601287393383e-09
0,0.14421811699867249,0.035301677882671356,0.04251258447766304,2.843023150234103e-09
0,0.15274707973003387,0.03522688150405884,0.04286423698067665,4.099702355375712e-09
0,0.21681618690490723,0.035145070403814316,0.045985881239175797,2.793786091359607e-09
0,0.16622118651866913,0.035103559494018555,0.04341461881995201,3.238809664907194e-09
0,0.35234132409095764,0.035235848277807236,0.05285291373729706,6.335277191737987e-09
0,0.17592477798461914,0.03510863333940506,0.0439048707485199,2.2296586799086526e-09
0,0.22215904295444489,0.03508079797029495,0.04618874937295914,1.4249774693553263e-09
0,0.12584982812404633,0.03498326241970062,0.041275754570961,1.6269225966425438e-09
0,0.40697166323661804,0.035079799592494965,0.055428385734558105,9.451908145052812e-10
0,0.06061398610472679,0.035040292888879776,0.03807099163532257,1.7154798692686768e-09
0,0.10522744059562683,0.03496396914124489,0.04022534191608429,1.5518047957741032e-09
0,0.1268712431192398,0.03498120978474617,0.04132477194070816,5.394287794224795e-10
0,0.06064308434724808,0.03492690622806549,0.037959061563014984,9.019058277992542e-10
0,0.12005362659692764,0.03495887666940689,0.040961556136608124,6.143492381482929e-10
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.7743046879768372,-0.006072957068681717,0.03264227882027626,2.1905010726186447e-05
0,0.38497573137283325,-0.011324621737003326,0.007924165576696396,1.782424760676804e-06
0,0.7463057637214661,-0.014123359695076942,0.02319193072617054,1.6587099480602774e-06
0,0.45563170313835144,-0.012077259831130505,0.010704326443374157,4.499466740526259e-06
0,0.3060798943042755,-0.01019942108541727,0.00510457344353199,4.407817414175952e-06
0,0.3948848843574524,-0.009774893522262573,0.009969351813197136,3.7048682770546293e-06
0,0.3522548973560333,-0.01117672398686409,0.006436021998524666,2.591536940599326e-06
0,0.33540597558021545,-0.012236139737069607,0.004534159786999226,1.902384383356548e-06
0,0.3715561330318451,-0.01206230279058218,0.006515503861010075,4.462170181795955e-06
Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.5457521677017212,0.02532198093831539,0.05260958895087242,2.8815236873924732e-05
0,0.3641114830970764,0.023970354348421097,0.04217592626810074,1.1475351584522286e-06
0,0.42402997612953186,0.02442334219813347,0.04562484100461006,1.2325681382208131e-06
0,0.4144454598426819,0.022180631756782532,0.042902905493974686,3.9524061321571935e-06
0,0.48471295833587646,0.022877471521496773,0.047113120555877686,1.3707085599889979e-06
0,0.34412023425102234,0.023557137697935104,0.04076314717531204,3.539347744663246e-06
0,0.22281450033187866,0.02338404580950737,0.03452477231621742,1.4791779676670558e-06
0,0.400023490190506,0.02448933757841587,0.0444905124604702,5.495789082488045e-06
0,0.25611984729766846,0.0234009250998497,0.036206915974617004,2.8890372050227597e-06
0,0.31688612699508667,0.02375362627208233,0.03959793224930763,2.6056304704979993e-06
0,0.5080455541610718,0.02180449850857258,0.04720677435398102,4.333275228418643e-06
0,0.2241249978542328,0.023580197244882584,0.03478644788265228,3.4003046494035516e-06
0,0.3873196542263031,0.02306252345442772,0.04242850840091705,3.301679953437997e-06
0,0.23314791917800903,0.022130651399493217,0.0337880477309227,4.205069217277924e-06
